source_title,source_url,source_type,source_class,publisher_or_org,confidence,relevance_hint,evidence_count
INPE - Instituto Nacional de Pesquisas Espaciais,https://www.gov.br/inpe/pt-br,institutional_documentation,scientific_knowledge_source,Bing HTML,0.55,1.0,14
50 years INPE - National Institute for Space Research,http://www3.inpe.br/50anos/english/presentation.php,primary_data_portal,analytical_data_source,Bing HTML,0.55,1.0,14
Fotodrucker Vergleich: Papierwahl beeinflusst Druckqualit&#228;t,https://www.testberichte.de/testsieger/level3_drucker_fotodrucker_181.html,web_result,analytical_data_source,Bing HTML,0.55,0.62,1
Destiny Item Manager (DIM) - Free download and install on Windows ...,https://apps.microsoft.com/detail/9p8q2xrw9cv7,web_result,analytical_data_source,Bing HTML,0.55,0.62,1
Microsoft Learn - in dynamics365-business-central-192,https://docs.microsoft.com/api/search/rss?locale=en-us&$filter=scopes/any(t:%20t%20eq%20%27dynamics365-business-central-192%27),web_result,analytical_data_source,Bing HTML,0.55,0.62,1
Microsoft Learn - in dynamics365-customer-service-192,https://docs.microsoft.com/api/search/rss?locale=en-us&$filter=scopes%2Fany(t%3A%20t%20eq%20%27dynamics365-customer-service-192%27),web_result,analytical_data_source,Bing HTML,0.55,0.62,1
