report_year,data_year,violation_flag,surface_water_share_pct,groundwater_billion_gal,surface_water_million_gal,surface_water_billion_gal,population_served,tests_performed,parameters_tested,report_notice,augusta_flow_cfs,augusta_stage_ft,dock_conductance_us_cm,dock_do_mg_l,dock_turbidity_fnu,dock_water_temp_c,chlorine_ppm,fluoride_ppm,tthms_ppb,thaas_ppb,nitrate_ppm,lead_ppb,copper_ppm,arsenic_ppb,manganese_ppb,bromide_ppb,haa5_ppb,haa6br_ppb,haa9_ppb
2021,2020,1,14.0,5.4,761.0,0.761,153355,131000,160,Monitoring requirements not met for reporting period.,13925.185824,105.372677,10395.974214,5.8516,29.753196,20.908867,2.2,0.95,75.0,,,2.0,0.046,,11.0,34.3,47.4,8.56,55.96
2022,2021,0,18.0,5.1,9.6,0.0096,140366,176000,160,,9767.276946,102.669443,12601.021025,6.395188,14.650079,20.379907,2.08,0.95,101.0,109.0,,2.3,0.075,,11.0,34.3,47.4,8.56,55.96
2023,2022,0,21.0,5.3,1100.0,1.1,130864,176000,160,,7766.576357,100.678461,18280.925657,5.772637,11.321955,21.083807,2.1,1.26,64.8,36.0,,2.3,0.075,,11.0,34.3,47.4,8.56,55.96
2024,2023,0,28.5,5.5,1400.0,1.4,130865,143000,160,,8479.282066,101.413431,16875.45829,5.722233,16.749183,20.754246,2.07,1.26,64.0,54.0,,2.3,0.075,6.0,11.0,34.3,47.4,8.56,55.96
2025,2024,0,22.0,5.5,1400.0,1.4,129964,143000,160,,8474.740174,101.362692,15685.232753,5.49048,21.121387,20.975095,1.99,1.26,63.075,41.025,0.26,3.9,0.11,6.0,11.0,34.3,47.4,8.56,55.96
