report_year,data_year,system_name,system_number,regulated_parameter_count,unregulated_parameter_count,parameters_meeting_standard_count,parameters_not_meeting_standard_count,violation_flag,violation_parameter_count,surface_water_share_pct,groundwater_billion_gal,surface_water_million_gal,surface_water_billion_gal,population_served,tests_performed,parameters_tested,report_notice,source_excerpt,violation_summary,corrective_action_summary
2021,2020,Savannah Main System,GA0510003,7,6,5,0,1,2,14.0,5.4,761.0,0.761,153355,131000,160,Monitoring requirements not met for reporting period.,"Drinking water for the Savannah Main System comes from two sources. Even though most water supplied is still from the Floridan Aquifer, 14% was drawn from Abercorn Creek. Abercorn Creek is a tributary of the Savannah River located in Effingham County. The blending of Abercorn Creek water with Floridan Aquifer water was necessary due to the state-mandated reductions in the City’s withdrawal permit for the Floridan. The mandated reductions are intended to curb demand and slow salt water from intruding into the Aquifer. In 2020, the Savannah Main System supplied 5.4 billion gallons of groundwater and 761 million gallons of surface water to a population of 153,355. Savannah will continue to rely more on Abercorn Creek in the future to supplement water supplies.",DISNFECTION BY-PRODUCTS (TTHMs & HAA5s),"<p>We have since taken the required samples and the samples showed we are meeting drinking water standards. To address this sampling oversight, a procedural corrective action plan has been implemented. Effective immediately, a new procedure has been added to our standard operating procedures which ensures sampling stations are relocated prior to construction activity. Our goal is to ensure all compliance monitoring is performed to standard and scheduling.</p>"
2022,2021,Savannah Main System,GA0510003,8,6,8,0,0,0,18.0,5.1,9.6,0.0096,140366,176000,160,,"Drinking water for the Savannah Main System comes from two sources. Even though most water supplied is still from the Floridan Aquifer, 18% was drawn from Abercorn Creek. Abercorn Creek is a tributary of the Savannah River located in Effingham County. The blending of Abercorn Creek water with Floridan Aquifer water was necessary due to the state-mandated reductions in the City’s withdrawal permit for the Floridan. The mandated reductions are intended to curb demand and slow salt water from intruding into the Aquifer. In 2021, the Savannah Main System supplied 5.1 billion gallons of groundwater and 9.6 million gallons of surface water to a population of 140,366. Savannah will continue to rely more on Abercorn Creek in the future to supplement water supplies.",,
2023,2022,Savannah Main System,GA0510003,9,6,9,0,0,0,21.0,5.3,1100.0,1.1,130864,176000,160,,"Your drinking water from the Savannah Main System comes from two sources. Even though most water supplied is groundwater from the Floridan Aquifer, 21% was drawn from Abercorn Creek in 2022. Abercorn Creek is a tributary of the Savannah River located in Effingham County. The blending of Abercorn Creek water with Floridan Aquifer water was necessary to meet current demand and protect the aquifer from increasing saltwater intrusion. In 2022, the Savannah Main System supplied 5.3 billion gallons of groundwater and 1.1 billion gallons of surface water to a population of 130,864. As our region continues to grow, Savannah will rely more on water from Abercorn Creek.",,
2024,2023,Savannah Main System,GA0510003,10,6,10,0,0,0,28.5,5.5,1400.0,1.4,130865,143000,160,,"Your drinking water from the Savannah Main System comes from two sources. Even though most water supplied is groundwater from the Floridan Aquifer, 28.5% was drawn from Abercorn Creek in 2023. Abercorn Creek is a tributary of the Savannah River located in Effingham County. The blending of Abercorn Creek water with Floridan Aquifer water was necessary to meet current demand and protect the aquifer from increasing saltwater intrusion. In 2023, the Savannah Main System supplied 5.5 billion gallons of groundwater and 1.4 billion gallons of surface water to a population of 130,865. As our region continues to grow, Savannah will rely more on water from Abercorn Creek.",,
2025,2024,Savannah Main System,GA0510003,11,6,11,0,0,0,22.0,5.5,1400.0,1.4,129964,143000,160,,"Your drinking water from the Savannah Main System comes from two sources. Even though most water supplied is groundwater from the Floridan Aquifer, 22% was drawn from Abercorn Creek in 2024. Abercorn Creek is a tributary of the Savannah River located in Effingham County. The blending of Abercorn Creek water with Floridan Aquifer water was necessary to meet demand and protect the aquifer from increasing saltwater intrusion. In 2024, the Savannah Main System supplied 5.5 billion gallons of groundwater and 1.4 billion gallons of surface water to a population of approximately 129,964. As our region continues to grow, Savannah will rely more on water from Abercorn Creek.",,
