report_year,data_year,system_name,system_number,parameter_slug,parameter_name,required_samples,samples_taken,sampling_required_period,sampling_actual_period,violation_summary,corrective_action_summary
2021,2020,Savannah Main System,GA0510003,haa5,Haloacetic Acids (HAA5),8,7,3rd & 4th Quarter 2020,1st Quarter 2021,DISNFECTION BY-PRODUCTS (TTHMs & HAA5s),"<p>We have since taken the required samples and the samples showed we are meeting drinking water standards. To address this sampling oversight, a procedural corrective action plan has been implemented. Effective immediately, a new procedure has been added to our standard operating procedures which ensures sampling stations are relocated prior to construction activity. Our goal is to ensure all compliance monitoring is performed to standard and scheduling.</p>"
2021,2020,Savannah Main System,GA0510003,tthms,Total Triahlomethanes (TTHMs),8,7,3rd & 4th Quarter 2020,1st Quarter 2021,DISNFECTION BY-PRODUCTS (TTHMs & HAA5s),"<p>We have since taken the required samples and the samples showed we are meeting drinking water standards. To address this sampling oversight, a procedural corrective action plan has been implemented. Effective immediately, a new procedure has been added to our standard operating procedures which ensures sampling stations are relocated prior to construction activity. Our goal is to ensure all compliance monitoring is performed to standard and scheduling.</p>"
