zone_of_impact,receiving_water,river_extent,daily_avg_do_criterion_mg_l,minimum_do_criterion_mg_l,max_allowable_do_deficit_mg_l,existing_permitted_do_deficit_mg_l,predicted_do_deficit_mg_l,excess_do_deficit_mg_l,progress_toward_attainment_pct,critical_period,upstream_source,source_document_year,source_document
FR15,Savannah Harbor,Fort Pulaski (RM 0) to Seaboard Coastline Railway Bridge (RM 27.4),5.0,4.0,0.149,0.579,0.154,0.005,98.8,March-October 1999 critical-condition model runs using 7Q10 low flow and Thurmond Dam low-flow release,CBOD5 and ammonia from 24 continuous wastewater/NPDES dischargers,2015,Savannah Harbor 5R Alternative Restoration Plan
FR17,Savannah Harbor,Fort Pulaski (RM 0) to Seaboard Coastline Railway Bridge (RM 27.4),5.0,4.0,0.149,0.589,0.157,0.008,98.2,March-October 1999 critical-condition model runs using 7Q10 low flow and Thurmond Dam low-flow release,CBOD5 and ammonia from 24 continuous wastewater/NPDES dischargers,2015,Savannah Harbor 5R Alternative Restoration Plan
FR19,Savannah Harbor,Fort Pulaski (RM 0) to Seaboard Coastline Railway Bridge (RM 27.4),5.0,4.0,0.149,0.584,0.157,0.008,98.2,March-October 1999 critical-condition model runs using 7Q10 low flow and Thurmond Dam low-flow release,CBOD5 and ammonia from 24 continuous wastewater/NPDES dischargers,2015,Savannah Harbor 5R Alternative Restoration Plan
