facility_name,facility_type,latitude,longitude,huc8,river_segment,permit_status,primary_sic_code,parameter_groups,parameter_groups_available,manganese_parameter_flag,compliance_violation_flag,data_year_start,data_year_end,npdes_ids,compliance_status,cwa_compliance_status,significant_violation_flag,quarters_with_noncompliance_3y,inspection_count_5y,formal_enforcement_actions_5y,permit_type_label,facility_city,facility_state,facility_county,registry_id,active_flag,source_notes
MIDDLE FORK SVS 230 KV SUBSTATION AND MIDDLE FORK TAP - P79429,industrial,34.419021,-83.401749,03060104,Broad,Terminated Permit,1623,[],0,0,0,2023,2026,GAR2491B0,,Terminated Permit,0,0,1,0,Non-M,CARNESVILLE,GA,BANKS COUNTY,110071442953,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MITCHELL ROAD FARM #3,industrial,34.27762,-83.57275,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18B8A1 GAR18BBB1,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,MAYSVILLE,GA,BANKS COUNTY,110071961450,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"MOLINA FARM, CO.",industrial,34.455321,-83.378589,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18BCD3,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,TOCCOA,GA,STEPHENS COUNTY,110072105132,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MORGAN CONCRETE CO. - LAVONIA,industrial,34.42188,-83.107595,03060104,Broad,No Violation Identified,3273,[],0,0,0,2023,2026,GAIS00857,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,LAVONIA,GA,FRANKLIN COUNTY,110017714026,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MORGAN CONCRETE CO. - TOCCOA,industrial,34.576652,-83.346519,03060104,Broad,No Violation Identified,3273,[],0,0,0,2023,2026,GAIS04476,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,TOCCOA,GA,STEPHENS COUNTY,110017713982,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MPS COUNTRY CHARM FARM,industrial,34.2938,-83.6081,03060104,Broad,No Violation Identified,0259,[],0,0,0,2023,2026,GAG930069,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,GILLSVILLE,GA,BANKS COUNTY,110071546748,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MUDDY BRANCH ROAD POULTRY HOUSE,industrial,34.38845,-83.15107,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18BA2F,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,CANON,GA,FRANKLIN COUNTY,110072002236,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
MUSHROOM GROW BARN,industrial,34.571458,-83.357567,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR393AA4,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,TOCCOA,GA,STEPHENS COUNTY,110071446145,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
N FAIRVIEW ROAD FARM,industrial,34.424394,-83.165794,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18BA2B,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,LAVONIA,GA,FRANKLIN COUNTY,110072004509,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
N. ELM STREET,industrial,34.217756,-83.472893,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR152557,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070026648,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"NANCY HART CENTER FOR NURSING AND HEALING, LLC (NANCY HART NURSING CENTER WPCP)",municipal,34.01409,-82.7801,03060104,Broad,No Violation Identified,8059,[],0,0,1,2023,2026,GA0031232 GAG550148 GAL550148,No Violation Identified,No Violation Identified,0,1,1,0,Non-M,ELBERTON,GA,ELBERT COUNTY,110020841981,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NANCY?S PLACE - LOT 5,industrial,34.0533,-83.2351,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR39598C GAR39598D GAR39598F GAR395990 GAR395992 GAR395993 GAR395994 GAR395995 GAR3968DB GAR3968DD GAR3968DE GAR3968DF GAR3968E0 GAR3968E1,No Violation Identified,No Violation Identified,0,0,16,0,Non-M,COLBERT,GA,MADISON COUNTY,110071726021,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEESE-SANFORD VOLUNTEER FIRE STATION #3,industrial,34.082002,-83.317936,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR153B38,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,HULL,GA,MADISON COUNTY,110070218594,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEIGHBORS MARKET,industrial,34.2854,-83.1606,03060104,Broad,Violation Identified,1542,[],0,0,1,2023,2026,GAR18B7D1,Violation Identified,Violation Identified,0,2,2,0,Non-M,FRANKLIN SPRINGS,GA,FRANKLIN COUNTY,110071950246,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEW FRANKLIN ELEMENTARY SCHOOL,industrial,34.34805,-83.199472,03060104,Broad,Terminated Permit,1542,[],0,0,0,2023,2026,GAR18A36A,,Terminated Permit,0,0,1,0,Non-M,CARNESVILLE,GA,FRANKLIN COUNTY,110071446877,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEW HOLIDAY INN EXPRESS - 123 RIDGEWAY ROAD,industrial,34.215633,-83.469965,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR150208,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070011047,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEW HOLIDAY INN EXPRESS - BANKS,industrial,34.25685,-83.466497,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR153124,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,UNKNOWN,GA,,110070051701,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NEXAIR,industrial,34.2108,-83.3937,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18BF37,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,BANKS COUNTY,110072149282,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NICK NGUYEN POULTRY HOUSES,industrial,34.16047,-83.05105,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR152325,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,BOWMAN,GA,ELBERT COUNTY,110070023376,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NOI/SITE INFORMATION,industrial,34.00182,-82.9689,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR18BECC,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CALTON,GA,OGLETHORPE COUNTY,110072144066,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORFOLK SOUTHERN RAILWAY COMPANY - TOCCOA DTL,industrial,34.576829,-83.350273,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAIS04398,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,TOCCOA,GA,STEPHENS COUNTY,110071670345,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTH GEORGIA CHURCH OF GOD (LEGACY RETREAT CENTER WPCP),municipal,34.30441,-83.42519,03060104,Broad,Unknown,,[],0,0,0,2023,2026,GAJ030613,Unknown,Unknown,0,0,2,0,Non-M,HOMER,GA,BANKS COUNTY,110064584230,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHEAST GEORGIA HOUSING AUTHORITY (HOMER HOUSING WPCP),municipal,34.337133,-83.506286,03060104,Broad,No Violation Identified,4952,[],0,0,1,2023,2026,GAG550044,No Violation Identified,No Violation Identified,0,2,1,0,Non-M,HOMER,GA,BANKS COUNTY,110008982084,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"NORTHEAST GEORGIA RECYCLING, INC.",industrial,34.494011,-83.188356,03060104,Broad,No Violation Identified,5093,[],0,0,0,2023,2026,GAIS12426,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,MARTIN,GA,,110070023545,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD,industrial,34.2315,-83.4702,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR3877EC,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,JACKSON COUNTY,110070517530,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD LOT 106,industrial,34.232486,-83.468933,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR38B4F8 GAR38B4F9 GAR38B4FA GAR38B4FB GAR38B4FD GAR38BA3B GAR38BA3C GAR38BA3E GAR38BA3F GAR38BA40 GAR38EC2D GAR38EC2E GAR38EC2F GAR38EC30 GAR38EC31 GAR38EC32 GAR38EC34 GAR390051 GAR390052 GAR390053 GAR390054 GAR390055 GAR390307 GAR390308 GAR390316 GAR390318 GAR39031A GAR3904F0 GAR3921AF,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070824652,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD PHASE 3,industrial,34.23128,-83.46929,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR38A624 GAR38E565,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070694145,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD S/D - LOT 1,industrial,34.22754,-83.46634,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR384EE5,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070228383,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD S/D - LOT 38,industrial,34.231329,-83.470263,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR384EE6,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,,110070227577,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NORTHWOOD S/D - LOT 57,industrial,34.23096,-83.47138,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR367646,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,JACKSON COUNTY,110070022692,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
NU NGUYEN POULTRY FARM- RUCKERSVILLE ROAD,industrial,34.37536,-83.10344,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18B806,No Violation Identified,No Violation Identified,0,0,1,0,Non-M,CANON,GA,FRANKLIN COUNTY,110071952993,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"O'REILLY AUTO PARTS - LAVONIA, GA (LVA)",industrial,34.438361,-83.109165,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18AF53 GAR18BDE1,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,LAVONIA,GA,FRANKLIN COUNTY,110071816512,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
OAK HILL SUBDIVISION PHASE II,industrial,34.280347,-83.444536,03060104,Broad,Terminated Permit,1521,[],0,0,0,2023,2026,GAR387ABB,,Terminated Permit,0,0,2,0,Non-M,COMMERCE,GA,BANKS COUNTY,110070530033,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
OAK TREE PLAZA,industrial,33.88604,-83.12635,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR353318,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,LEXINGTON,GA,OGLETHORPE COUNTY,110070027931,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
OGLETHORPE COUNTY ELEMENTARY SCHOOL,municipal,33.89361,-83.10492,03060104,Broad,No Violation Identified,1542,[],0,0,0,2023,2026,GAR18A411,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,LEXINGTON,GA,OGLETHORPE COUNTY,110071447776,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
OWLTOWN VISTA LOT 11,industrial,34.48,-83.55,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR357148,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,UNKNOWN,GA,,110070007265,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PANDA EXPRESS-COMMERCE,industrial,34.261552,-83.465564,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR18AFFE,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMMERCE,GA,JACKSON COUNTY,110071825311,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PATTERSON PUMP COMPANY,industrial,34.550694,-83.401446,03060104,Broad,No Violation Identified,3561,[],0,0,1,2023,2026,GAD000138 GAIS00009,No Violation Identified,No Violation Identified,0,1,1,0,Non-M,TOCCOA,GA,STEPHENS COUNTY,110043089546,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PAUL PHAM (ANNIE FARM),industrial,34.322567,-83.115944,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR150902,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CANON,GA,,110070023101,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
